,Active,Active_scale,Confirmed,Country_Region,Date,Deaths,FIPS,Hospitalization_Rate,ISO3,Incident_Rate,Last_Update,Lat,Long_,Mortality_Rate,People_Hospitalized,People_Tested,Province_State,Recovered,Testing_Rate,UID,Active_per1000
0,3470.0,3.47,3563,US,2020-04-12,93,1.0,12.26494527,USA,75.98802021,2020-04-12 23:18:15,32.3182,-86.9023,2.610159978,437.0,21583.0,AL,,460.3001516,84000001.0,3.47
1,264.0,0.264,272,US,2020-04-12,8,2.0,11.39705882,USA,45.50404936,2020-04-12 23:18:15,61.3707,-152.4044,2.9411764710000003,31.0,8038.0,AK,66.0,1344.711576,84000002.0,0.264
2,3427.0,3.427,3542,US,2020-04-12,115,4.0,,USA,48.66242224,2020-04-12 23:18:15,33.7298,-111.4312,3.246753247,,42109.0,AZ,,578.5222863,84000004.0,3.427
3,1253.0,1.253,1280,US,2020-04-12,27,5.0,10.15625,USA,49.43942261,2020-04-12 23:18:15,34.9697,-92.3731,2.109375,130.0,19722.0,AR,367.0,761.7533537,84000005.0,1.253
4,22155.0,22.155,22795,US,2020-04-12,640,6.0,22.9611757,USA,58.13772584,2020-04-12 23:18:15,36.1162,-119.6816,2.81202018,5234.0,190328.0,CA,,485.42386849999997,84000006.0,22.155
5,7018.0,7.018,7307,US,2020-04-12,289,8.0,18.8312577,USA,128.943729,2020-04-12 23:18:15,39.0598,-105.3111,3.955111537,1376.0,34873.0,CO,,615.3899908,84000008.0,7.018
6,11481.0,11.481,12035,US,2020-04-12,554,9.0,13.74324886,USA,337.56048250000003,2020-04-12 23:18:15,41.5978,-72.7554,4.6032405480000005,1654.0,41220.0,CT,,1156.148159,84000009.0,11.481
7,1590.0,1.59,1625,US,2020-04-12,35,10.0,11.69230769,USA,166.8782169,2020-04-12 23:18:15,39.3185,-75.5071,2.153846154,190.0,11103.0,DE,191.0,1140.214672,84000010.0,1.59
9,1825.0,1.825,1875,US,2020-04-12,50,11.0,,USA,265.6751905,2020-04-12 23:18:15,38.8974,-77.0268,2.666666667,,10640.0,District of Columbia,493.0,1507.618148,84000011.0,1.825
10,19434.0,19.434,19895,US,2020-04-12,461,12.0,13.93314903,USA,93.70022691,2020-04-12 23:18:15,27.7663,-81.6868,2.317165117,2772.0,182753.0,FL,,860.7186513,84000012.0,19.434
11,12019.0,12.019,12452,US,2020-04-12,433,13.0,20.11725024,USA,122.80814050000001,2020-04-12 23:18:15,33.0406,-83.6431,3.4773530360000002,2505.0,54453.0,GA,,537.0439828,84000013.0,12.019
14,490.0,0.49,499,US,2020-04-12,9,15.0,8.817635271,USA,35.24543964,2020-04-12 23:18:15,21.0943,-157.4983,1.8036072140000001,44.0,17968.0,HI,300.0,1269.118355,84000015.0,0.49
15,1380.0,1.38,1407,US,2020-04-12,27,16.0,9.310589907999999,USA,87.36433536,2020-04-12 23:18:15,44.2405,-114.4788,1.918976546,131.0,14308.0,ID,,888.4214004,84000016.0,1.38
16,20132.0,20.132,20852,US,2020-04-12,720,17.0,17.64818722,USA,177.68078180000003,2020-04-12 23:18:15,40.3495,-88.9861,3.4529061960000003,3680.0,100735.0,IL,,858.3672336000001,84000017.0,20.132
17,7585.0,7.585,7928,US,2020-04-12,343,18.0,,USA,121.14925530000001,2020-04-12 23:18:15,39.8494,-86.2583,4.326437941,,42489.0,IN,,649.2823801,84000018.0,7.585
18,1546.0,1.546,1587,US,2020-04-12,41,19.0,8.128544423,USA,60.55603952,2020-04-12 23:18:15,42.0115,-93.2105,2.583490863,129.0,17592.0,IA,674.0,671.2677046,84000019.0,1.546
19,1288.0,1.288,1344,US,2020-04-12,56,20.0,22.17261905,USA,55.11612114,2020-04-12 23:18:15,38.5266,-96.7265,4.166666667,298.0,13253.0,KS,,543.4925249,84000020.0,1.288
20,1866.0,1.866,1963,US,2020-04-12,97,21.0,23.38257769,USA,57.34228025,2020-04-12 23:18:15,37.6681,-84.6701,4.941416200000001,459.0,24567.0,KY,464.0,717.6402439,84000021.0,1.866
21,19755.0,19.755,20595,US,2020-04-12,840,22.0,10.11896091,USA,447.9836494,2020-04-12 23:18:15,31.1695,-91.8678,4.078659869,2084.0,104045.0,LA,,2263.19295,84000022.0,19.755
22,614.0,0.614,633,US,2020-04-12,19,23.0,18.95734597,USA,53.91795272,2020-04-12 23:18:15,44.6939,-69.3819,3.0015797789999996,120.0,6721.0,ME,266.0,572.4842974,84000023.0,0.614
23,7989.0,7.989,8225,US,2020-04-12,236,24.0,22.61398176,USA,138.3903145,2020-04-12 23:18:15,39.0639,-76.8021,2.869300912,1860.0,49764.0,MD,456.0,837.3076732000001,84000024.0,7.989
24,24719.0,24.719,25475,US,2020-04-12,756,25.0,8.773307164,USA,371.1516059,2020-04-12 23:18:15,42.2302,-71.5301,2.9676153089999997,2235.0,116730.0,MA,,1700.668379,84000025.0,24.719
25,22765.0,22.765,24244,US,2020-04-12,1479,26.0,14.99752516,USA,304.2953668,2020-04-12 23:18:15,43.3266,-84.5361,6.100478469,3636.0,79437.0,MI,433.0,997.0430232000001,84000026.0,22.765
26,1551.0,1.551,1621,US,2020-04-12,70,27.0,22.27020358,USA,32.77100367,2020-04-12 23:18:15,45.6945,-93.9002,4.318322023,361.0,37421.0,MN,842.0,756.5229662,84000027.0,1.551
27,2685.0,2.685,2781,US,2020-04-12,96,28.0,19.70514204,USA,96.05534114,2020-04-12 23:18:15,32.7416,-89.6787,3.451995685,548.0,21413.0,MS,,739.6019489,84000028.0,2.685
28,4151.0,4.151,4269,US,2020-04-12,118,29.0,23.14359335,USA,72.85659283,2020-04-12 23:18:15,38.4561,-92.2884,2.764113375,988.0,45200.0,MO,,771.4026695,84000029.0,4.151
29,381.0,0.381,387,US,2020-04-12,6,30.0,12.14470284,USA,44.68889256,2020-04-12 23:18:15,46.9219,-110.4544,1.5503875969999998,47.0,8913.0,MT,169.0,1029.230231,84000030.0,0.381
30,774.0,0.774,791,US,2020-04-12,17,31.0,,USA,51.85960275,2020-04-12 23:18:15,41.1254,-98.2681,2.149178255,,10691.0,NE,,700.924163,84000031.0,0.774
